id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
0,,,,,,Sol,0,0,0,0,0,0,-26.7,4.85,G2V,0.656,0.000005,0,0,0,0,0,0,0,0,0,,,,1,0,,1,,,
32263,32349,48915,2491,Gl 244A,9Alp CMa,Sirius,6.752481,-16.716116,2.6371,-546.01,-1223.08,-9.4,-1.44,1.454,A0m...,0.009,-0.494323,2.476731,-0.758485,0.00000953,-0.00001207,-0.00001221,1.7677953696,-0.2917512585,-2.64713117720139E-06,-5.929659164E-06,Alp,9,CMa,1,32263,Gl 244,22.8244331217,,-1.333,-1.523
30365,30438,45348,2326,,Alp Car,Canopus,6.399195,-52.69566,94.7867,19.99,23.67,21,-0.62,-5.504,F0Ib,0.164,-5.992679,57.132034,-75.396105,-0.0000114,0.00002059,-0.00001049,1.675305352,-0.9197127749,9.69142547430555E-08,1.14755398E-07,Alp,,Car,1,30365,,13854.7916756672,,-0.547,-0.667
69451,69673,124897,5340,Gl 541,16Alp Boo,Arcturus,14.26103,19.18241,11.2575,-1093.45,-1999.4,-5,-0.05,-0.307,K2IIIp,1.239,-8.823448,-5.932531,3.698938,-0.00005905,0.0000322,-0.00010473,3.7335290285,0.3347962181,-5.30119519003472E-06,-9.693364729E-06,Alp,16,Boo,1,69451,,115.5579955402,,,
71456,71683,128620,5459,Gl 559A,Alp1Cen,Rigil Kentaurus,14.660765,-60.833976,1.3248,-3678.19,481.84,-26.2,-0.01,4.379,G2V,0.71,-0.495203,-0.414084,-1.156625,-0.00000722,0.00002476,0.00002491,3.8381792118,-1.0617531758,-1.78323683168264E-05,0.000002336,Alp-1,,Cen,1,71456,Gl 559,1.5431210657,,0.113,-0.087
90979,91262,172167,7001,Gl 721,3Alp Lyr,Vega,18.61564,38.783692,7.6787,201.02,287.46,-12.1,0.03,0.604,A0Vvar,-0.001,0.960565,-5.908009,4.809731,0.00000476,0.00001734,0.00000059,4.8735630955,0.6769031164,9.74572460652778E-07,1.393645406E-06,Alp,3,Lyr,1,90979,,49.9344188721,,,
24549,24608,34029,1708,Gl 194A,13Alp Aur,Capella,5.27815,45.997991,13.1234,75.52,-427.13,22.2,0.08,-0.51,M1: comp,0.795,1.712633,8.954439,9.440007,0.00000192,0.00003559,-0.00000254,1.3818164126,0.8028163926,3.66131291555556E-07,-2.070784673E-06,Alp,13,Aur,1,24549,Gl 194,139.3156802945,,,
24378,24436,34085,1713,,19Bet Ori,Rigel,5.242298,-8.20164,264.5503,1.87,-0.56,21,0.18,-6.933,B8Ia,-0.03,51.601106,256.709905,-37.740051,0.00000182,0.00002121,-0.00000377,1.3724303693,-0.1431456308,9.06601582638889E-09,-2.714956E-09,Bet,19,Ori,1,24378,,51665.424256695,,,
37173,37279,61421,2943,Gl 280A,10Alp CMi,Procyon,7.655033,5.224993,3.5142,-716.57,-1034.58,-4,0.4,2.671,F5IV-V,0.432,-1.469312,3.17617,0.320024,0.00001212,0.00000289,-0.00001792,2.0040830412,0.0911933319,-0.000003474,-5.015785376E-06,Alp,10,CMi,1,37173,Gl 280,7.4404636619,,,
7574,7588,10144,472,,Alp Eri,Achernar,1.628556,-57.236757,42.7533,88.02,-40.08,16,0.45,-2.705,B3Vp,-0.158,21.065573,9.568417,-35.951967,-0.00000584,0.00001738,-0.00001826,0.4263550659,-0.9989698692,4.26733001625E-07,-1.94313323E-07,Alp,,Eri,1,7574,,1051.9618738232,Alp,0.487,0.427
27919,27989,39801,2061,,58Alp Ori,Betelgeuse,5.919529,7.407063,152.6718,27.33,10.86,21,0.45,-5.469,M2Ib,1.5,3.189296,151.364387,19.682142,-0.0000198,0.00002068,0.00001074,1.5497291184,0.1292776317,1.32499578895833E-07,5.2650765E-08,Alp,58,Ori,1,27919,,13415.2879826613,Alp,0.571,0.281
68483,68702,122451,5267,,Bet Cen,Hadar,14.063729,-60.373039,120.1923,-33.96,-25.06,6,0.61,-4.789,B1III,-0.231,-50.954051,-30.56287,-104.478695,-0.00000189,0.00002194,-0.00001255,3.6818756604,-1.0537083141,-1.64642725916667E-07,-1.21494308E-07,Bet,,Cen,1,68483,,7171.3348265772,Bet,0.634,0.594
97338,97649,187642,7557,Gl 768,53Alp Aql,Altair,19.846388,8.868322,5.1295,536.82,385.54,-26.1,0.76,2.21,A7IV-V,0.221,2.355468,-4.4873,0.790749,-0.00000112,0.00003087,0.00000536,5.1957721055,0.1547814171,2.60257679995833E-06,1.869150664E-06,Alp,53,Aql,1,97338,,11.3762728582,Alp,0.803,0.753
60530,60718,108248,4730,,Alp1Cru,Acrux,12.443311,-63.099092,98.7167,-35.37,-14.73,-11,0.77,-4.202,B0.5IV,-0.243,-44.363755,-5.171957,-88.034513,0.00000934,0.00001813,0.00000684,3.2576512816,-1.1012869029,-1.714785988125E-07,-7.1413055E-08,Alp-1,,Cru,1,60530,,4176.3799295097,,,
21368,21421,29139,1457,Gl 171.1A,87Alp Tau,Aldebaran,4.598677,16.509301,20.4332,62.78,-189.36,54.5,0.87,-0.682,K5III,1.538,7.02722,18.287604,5.806661,0.00001528,0.00005709,-0.00000214,1.2039308112,0.2881416661,3.04366028652778E-07,-0.000000918,Alp,87,Tau,1,21368,Gl 171.1,163.2300072819,Alp,0.888,0.858
118360,,,,Gl 194B,,,5.277926,46.000842,12.9383,80.57,-422.38,33.9,0.96,0.401,G0 III,,1.689045,8.828648,9.308413,0.00000314,0.00004332,0.00000654,1.3817577787,0.8028661535,3.90614382423611E-07,-2.047770568E-06,,,Aur,2,24549,Gl 194,60.2004863684,,,
65269,65474,116658,5056,,67Alp Vir,Spica,13.419883,-11.161322,76.5697,-42.5,-31.73,1,0.98,-3.44,B1V,-0.235,-69.990853,-27.285826,-14.82176,-0.00000454,0.00001516,-0.00001175,3.5133172181,-0.194801818,-0.000000206,-1.5383138E-07,Alp,67,Vir,1,65269,,2070.1413487911,Alp,1.001,0.961
80519,80763,148478,6134,,21Alp Sco,Antares,16.490128,-26.432002,169.7793,-10.16,-23.21,-3,1.06,-5.089,M1Ib + B2.5V,1.865,-58.542602,-140.307591,-75.574766,-0.00000338,0.0000136,-0.00001574,4.317105466,-0.4613254706,-4.92570699444444E-08,-1.12525255E-07,Alp,21,Sco,1,80519,,9453.6604595797,Alp,1.155,0.995
37718,37826,62509,2990,Gl 286,78Bet Gem,Pollux,7.755277,28.026199,10.3584,-625.69,-45.95,3.6,1.16,1.084,K0IIIvar,0.991,-4.055465,8.19518,4.867171,0.00002624,0.00001782,-0.00000031,2.0303268875,0.4891494417,-3.03343071786806E-06,-2.22771886E-07,Bet,78,Gem,1,37718,,32.0922376805,,,
113008,113368,216956,8728,Gl 881,24Alp PsA,Fomalhaut,22.960838,-29.622236,7.7036,329.22,-164.22,6.1,1.17,1.737,A3V,0.145,6.450517,-1.799476,-3.807757,0.00000561,0.0000112,-0.00000841,6.0111333839,-0.5170055514,1.596103599125E-06,-7.96161026E-07,Alp,24,PsA,1,113008,,17.5873335414,,,
62239,62434,111123,4853,,Bet Cru,Becrux,12.795359,-59.688764,85.3971,-48.24,-12.82,16,1.25,-3.407,B0.5III,-0.238,-42.168771,-8.909619,-73.723149,-0.00000773,0.00001878,-0.00001681,3.3498170266,-1.0417654498,-2.338741195E-07,-6.2153113E-08,Bet,,Cru,1,62239,,2008.167804184,Bet,1.267,1.237
101767,102098,197345,7924,,50Alp Cyg,Deneb,20.690532,45.280338,432.9004,1.56,1.55,-5,1.25,-6.932,A2Ia,0.092,197.250632,-232.113407,307.600832,-0.00000133,0.00000662,-0.00000134,5.4167685422,0.7902909828,7.56309341666667E-09,7.514612E-09,Alp,50,Cyg,1,101767,,51617.8605496673,Alp,1.294,1.224
71453,71681,128621,5460,Gl 559B,Alp2Cen,,14.660346,-60.8383,1.3248,-3678.19,481.84,-26.2,1.35,5.739,K1V,0.9,-0.495181,-0.413973,-1.156674,-0.00000722,0.00002476,0.00002491,3.8380695708,-1.0618286488,-1.78323683168264E-05,0.000002336,Alp-2,,Cen,2,71456,Gl 559,0.4409608165,,,
49528,49669,87901,3982,,32Alp Leo,Regulus,10.139532,11.967207,24.3132,-249.4,4.91,6,1.36,-0.569,B7V,-0.087,-21.018857,11.132218,5.041397,0.00000856,0.00002873,0.00000184,2.6545231722,0.2088671653,-1.20912531930556E-06,2.3804351E-08,Alp,32,Leo,1,49528,,147.0957076797,,,
33492,33579,52089,2618,,21Eps CMa,Adhara,6.977097,-28.972084,124.2236,2.63,2.29,27,1.5,-3.971,B2II,-0.211,-27.497987,105.141608,-60.171969,-0.00000781,0.00002362,-0.00001217,1.8265996486,-0.5056582519,1.27505997986111E-08,1.1102233E-08,Eps,21,CMa,1,33492,,3375.9810485543,,,
36744,36850,60179,2891,Gl 278A,66Alp Gem,Castor,7.576634,31.888276,15.5958,-206.33,-148.18,6,1.58,0.615,A2Vm,0.034,-5.311938,12.130011,8.238737,0.00000983,0.00001645,-0.00000627,1.9835582702,0.556555413,-1.00031606709028E-06,-7.18396911E-07,Alp,66,Gem,1,36744,Gl 278,49.4310686987,,,
60893,61084,108903,4763,,Gam Cru,Gacrux,12.519429,-57.113212,27.1518,27.94,-264.33,21,1.59,-0.579,M4III,1.6,-14.606901,-1.998688,-22.800748,0.00001789,-0.00000126,-0.00003693,3.2775789292,-0.9968135892,1.35456942347222E-07,-1.281508001E-06,Gam,,Cru,1,60893,,148.4567675052,,,
85665,85927,158926,6527,,35Lam Sco,Shaula,17.560145,-37.103821,175.1313,-8.9,-29.95,-3,1.62,-4.597,B1.5IV+...,-0.231,-16.048583,-138.749793,-105.649898,-0.00000546,0.00001854,-0.00001843,4.5972351525,-0.6475838425,-4.31484175694444E-08,-1.45201697E-07,Lam,35,Sco,1,85665,,6008.9695048349,Lam,1.656,1.596
25273,25336,35468,1790,,24Gam Ori,Bellatrix,5.418851,6.349702,77.3994,-8.75,-13.28,18,1.64,-2.804,B2III,-0.224,11.658576,76.036136,8.56012,0.0000061,0.00001813,-0.00000292,1.4186518338,0.1108232096,-4.24211970486111E-08,-6.4383256E-08,Gam,24,Ori,1,25273,,1152.3913771995,,,
25364,25428,35497,1791,,112Bet Tau,Alnath,5.438198,28.60745,41.0509,23.28,-174.22,9,1.65,-1.417,B7III,-0.13,5.281578,35.6504,19.655456,-0.00000097,0.00002509,-0.00002603,1.4237168086,0.4992941924,1.12864624833333E-07,-8.44642394E-07,Bet,112,Tau,1,25364,,321.2180933988,,,
45106,45238,80007,3685,,Bet Car,Miaplacidus,9.220041,-69.717208,34.6981,-157.66,108.91,-5,1.67,-1.032,A2IV,0.07,-8.980712,8.001552,-32.546536,0.00000613,0.00003005,0.00001115,2.4138011729,-1.2167948189,-7.64357248763889E-07,0.000000528,Bet,,Car,1,45106,,225.3201335629,,,
26246,26311,37128,1903,,46Eps Ori,Alnilam,5.603559,-1.20192,606.0606,1.49,-1.06,26,1.69,-7.223,B0Ia,-0.184,62.775122,602.66691,-12.712683,-0.00000161,0.00002683,-0.00000367,1.4670083872,-0.020977458,7.22372384027778E-09,-5.139025E-09,Eps,46,Ori,1,26246,,67483.8730870757,Eps,1.717,1.667
108922,109268,209952,8425,Gl 848.2,Alp Gru,Alnair,22.137209,-46.960975,30.9693,127.6,-147.91,10.9,1.73,-0.725,B7IV,-0.07,18.672505,-9.904001,-22.635193,0.00000136,0.00002096,-0.0000233,5.7955076429,-0.8196236395,6.18622256388889E-07,-7.17087914E-07,Alp,,Gru,1,108922,,169.8243652462,,,
26662,26727,37742,1948,,50Zet Ori,Alnitak,5.679313,-1.942572,225.7336,3.99,2.54,18,1.74,-5.028,O9.5Ib SB,-0.199,18.918488,224.809409,-7.651875,-0.0000028,0.00001879,0.00000215,1.4868406873,-0.0339042813,1.93440658541667E-08,1.2314267E-08,Zet,50,Ori,1,26662,,8937.169608502,,,
39840,39953,68273,3207,,Gam2Vel,,8.158876,-47.336588,342.4658,-5.93,9.9,35,1.75,-5.923,WC8 + O9I,-0.145,-124.300149,195.993257,-251.831601,-0.00001115,0.00003596,-0.00001518,2.1359886134,-0.826179311,-2.87494512569444E-08,0.000000048,Gam-2,,Vel,1,39840,,20379.8038628705,Gam-2,1.767,1.727
62757,62956,112185,4905,,77Eps UMa,Alioth,12.900472,55.959821,25.31,111.74,-8.99,-9,1.76,-0.256,A0p,-0.022,-13.775959,-3.309169,20.972944,0.00000732,-0.00001234,-0.00000824,3.3773355901,0.9766831266,5.41730806652778E-07,-4.3584749E-08,Eps,77,UMa,1,62757,,110.2554332102,Eps,1.776,1.746
15824,15863,20902,1017,,33Alp Per,Mirphak,3.405378,49.86118,155.2795,24.11,-26.01,-2,1.79,-4.166,F5Ib,0.481,62.885098,77.880689,118.708804,-0.00000555,0.00002202,-0.00001419,0.8915260038,0.8702417516,1.16888578381944E-07,-1.26100038E-07,Alp,33,Per,1,15824,,4040.17335373,,,
89906,90185,169022,6879,,20Eps Sgr,Kaus Australis,18.402868,-34.384616,43.9367,-39.61,-124.05,-15,1.79,-1.424,B9.5III,-0.031,3.817188,-36.057831,-24.812975,-0.00001129,0.00002654,-0.00001314,4.8178594527,-0.6001247623,-0.000000192,-6.0141137E-07,Eps,20,Sgr,1,89906,,323.2957533681,,,
53905,54061,95689,4301,,50Alp UMa,Dubhe,11.062155,61.751033,37.679,-136.46,-35.25,-9,1.81,-1.07,F7V comp,1.061,-17.298705,4.33488,33.191332,0.00000478,0.0000245,-0.00001116,2.8960653502,1.0777588447,-6.61576748486111E-07,-1.70896822E-07,Alp,50,UMa,1,53905,,233.3458062281,,,
34354,34444,54605,2693,,25Del CMa,Wezen,7.139857,-26.3932,492.6108,-2.75,3.33,34,1.83,-6.633,F8Ia,0.671,-129.733458,421.761488,-218.979855,-0.00000392,0.00003508,-0.00000833,1.8692101323,-0.4606482337,-1.33323762152778E-08,1.6144295E-08,Del,25,CMa,1,34354,,39192.2322454977,,,
67088,67301,120315,5191,,85Eta UMa,Alkaid,13.792354,49.313265,31.8674,-121.23,-15.56,-11,1.85,-0.667,B3V SB,-0.099,-18.529548,-9.394541,24.164506,-0.00000355,0.0000192,-0.0000101,3.6108299013,0.8606788389,-5.877396249375E-07,-7.5437008E-08,Eta,85,UMa,1,67088,,160.9904076216,,,
40921,41037,71129,3307,,Eps Car,Avior,8.375236,-59.509483,185.5288,-25.34,22.72,2,1.86,-4.482,K3III+B2V,1.196,-54.83708,76.515238,-159.872623,0.00000766,0.00002843,0.00000861,2.192631676,-1.0386364142,-1.22851786652778E-07,1.10149668E-07,Eps,,Car,1,40921,,5405.0535370867,,,
85965,86228,159532,6553,,The Sco,Sargas,17.62198,-42.997824,92.081,6.06,-0.95,1,1.86,-2.961,F1II,0.406,-6.654055,-67.016643,-62.796539,0.00000265,-0.00000072,-0.00000101,4.6134236651,-0.7504535963,2.93797090416667E-08,-4.605729E-09,The,,Sco,1,85965,,1331.68037627,,,
28288,28360,40183,2088,NN 3375,34Bet Aur,Menkalinan,5.992149,44.947433,24.8694,-56.41,-0.88,-19.4,1.9,-0.078,A2V,0.077,0.036195,17.601288,17.569058,0.00000677,-0.00001398,-0.00001409,1.568740945,0.7844806907,-2.73483397201389E-07,-4.26636E-09,Bet,34,Aur,1,28288,,93.5836543584,Bet,1.967,1.897
82022,82273,150798,6217,,Alp TrA,Atria,16.811077,-69.027715,119.7605,17.85,-32.92,-3,1.91,-3.482,K2IIb-IIIa,1.447,-13.127447,-40.804561,-111.826781,0.00001567,0.00001486,-0.00000398,4.4011295862,-1.2047609005,8.65392419791667E-08,-1.59600663E-07,Alp,,TrA,1,82022,,2151.7905703398,,,
31601,31681,47105,2421,,24Gam Gem,Alhena,6.628528,16.399252,33.5121,-2.04,-66.92,-13,1.93,-0.696,A0IV,0.001,-5.266162,31.714389,9.461403,0.00000191,-0.0000095,-0.00001418,1.7353445935,0.2862209442,-9.89019908333333E-09,-3.24437315E-07,Gam,24,Gem,1,31601,,165.3484012171,,,
42794,42913,74956,3485,Gl 321.3A,Del Vel,,8.745059,-54.708821,24.6975,28.78,-104.14,2.2,1.93,-0.033,A1V,0.043,-9.394033,10.739813,-20.158771,0.00000325,-0.00000895,-0.00000904,2.2894512109,-0.9548490567,1.39529377263889E-07,-5.04884966E-07,Del,,Vel,1,42794,Gl 321.3,89.784217091,Del,1.939,1.929
100425,100751,193924,7790,,Alp Pav,Peacock,20.427459,-56.73509,54.8246,7.71,-86.15,2,1.94,-1.755,B2IV,-0.118,17.850262,-24.200974,-45.841245,-0.00000905,0.00001572,-0.00001427,5.3478963791,-0.9902141216,3.73791347708333E-08,-4.17666985E-07,Alp,,Pav,1,100425,,438.530697775,,,
11734,11767,8890,424,,1Alp UMi,Polaris,2.52975,89.264109,132.626,44.22,-11.74,-17,1.97,-3.643,F7:Ib-IIv SB,0.636,1.3431,1.047629,132.614909,-0.00001171,0.00002692,-0.00001748,0.6622870749,1.557952613,2.14384609541667E-07,-5.6917126E-08,Alp,1,UMi,1,11734,,2495.7437948316,Alp,1.993,1.953
30251,30324,44743,2294,,2Bet CMa,Mirzam,6.378329,-17.955918,151.0574,-3.45,-0.47,34,1.98,-3.916,B1II/III,-0.24,-14.209731,142.995999,-46.568852,-0.00000075,0.00003306,-0.00001105,1.6698426956,-0.3133898839,-1.67260719791667E-08,-2.278624E-09,Bet,2,CMa,1,30251,,3209.2237680484,Bet,1.999,1.969
46259,46390,81797,3748,,30Alp Hya,Alphard,9.45979,-8.658603,55.2792,-14.49,33.25,-4,1.99,-1.723,K3III,1.44,-43.003468,33.722848,-8.322089,0.00000452,0.00000139,0.00000942,2.4765671803,-0.1511211225,-7.02495023125E-08,1.61200548E-07,Alp,30,Hya,1,46259,,425.7944535826,,,
9861,9884,12929,617,Gl 84.3,13Alp Ari,Hamal,2.119555,23.462423,20.1776,190.73,-145.77,-14.4,2.01,0.486,K2III,1.151,15.731986,9.751722,8.03361,-0.00001649,0.00001173,-0.00001894,0.554898131,0.4094965333,9.24685132923611E-07,-7.06712902E-07,Alp,13,Ari,1,9861,,55.6672798151,,,
50440,50583,89484,4057,,41Gam1Leo,Algieba,10.332873,19.841489,39.8883,310.77,-152.88,-37,2.01,-0.994,K0III,1.128,-34.002797,15.860719,13.53874,-0.00000224,-0.00006526,-0.00004065,2.7051398372,0.3462993056,1.5066554750625E-06,-7.41183154E-07,Gam-1,41,Leo,1,50440,,217.5704950926,,,
3413,3419,4128,188,Gl 31,16Bet Cet,Diphda,0.72649,-17.986605,29.5334,232.79,32.71,13.3,2.04,-0.312,K0III,1.019,27.583638,5.310463,-9.119792,0.00000782,0.00003545,0.00000025,0.1901946422,-0.3139254704,1.12859776696528E-06,1.58582554E-07,Bet,16,Cet,1,3413,,116.0913870126,,,
92564,92855,175191,7121,,34Sig Sgr,Nunki,18.92109,-26.296722,69.8324,13.87,-52.65,-11,2.05,-2.17,B2.5V,-0.134,14.950858,-60.794062,-30.937099,0.00000027,0.00001858,-0.000011,4.9535298294,-0.4589643845,6.72436574930556E-08,-2.55254402E-07,Sig,34,Sgr,1,92564,,642.687717317,,,
68714,68933,123139,5288,Gl 539,5The Cen,Menkent,14.111395,-36.369954,18.0343,-519.29,-517.87,1.3,2.06,0.78,K0IIIb,1.011,-12.358808,-7.624204,-10.694288,-0.0000019,0.00005217,-0.00003724,3.6943545481,-0.6347754527,-2.51758896175694E-06,-2.510704607E-06,The,5,Cen,1,68714,,42.4619563946,,,
676,677,358,15,,21Alp And,Alpheratz,0.139791,29.090432,29.7442,135.68,-162.95,-12,2.07,-0.297,B9p,-0.038,25.974572,0.951042,14.461264,-0.00000002,0.00001958,-0.0000265,0.0365971627,0.5077238185,6.57795201777778E-07,-0.00000079,Alp,21,And,1,676,,114.498553469,Alp,2.083,2.063
5436,5447,6860,337,Gl 53.3,43Bet And,Mirach,1.162194,35.620558,60.5327,175.59,-112.23,-0.8,2.07,-1.84,M0IIIvar,1.576,46.946371,14.741814,35.255129,0.00000223,0.00005471,-0.00002725,0.3042617927,0.6216960121,8.512843416875E-07,-5.44106393E-07,Bet,43,And,1,5436,,474.2419852602,,,
27298,27366,38771,2004,,53Kap Ori,Saiph,5.795941,-9.669605,198.4127,1.55,-1.2,21,2.07,-4.418,B0.5Iavar,-0.168,10.444137,195.314937,-33.326707,-0.00000037,0.00002103,-0.00000475,1.5173738928,-0.1687664399,7.51461204861111E-09,-5.817764E-09,Kap,53,Ori,1,27298,,5095.6548060812,,,
72380,72607,131873,5563,,7Bet UMi,Kochab,14.845105,74.155505,40.1445,-32.29,11.91,17,2.07,-0.948,K4IIIvar,1.465,-8.058164,-7.429707,38.619407,-0.00000611,0.00000291,0.00001736,3.8864392902,1.2942577172,-1.56546337451389E-07,5.7741309E-08,Bet,7,UMi,1,72380,,208.5451047693,,,
111768,112122,214952,8636,,Bet Gru,,22.711115,-46.884577,54.2594,135.68,-4.51,2,2.07,-1.602,M5III,1.61,34.993484,-12.277259,-39.608199,0.00001232,0.0000335,-0.0000023,5.9457559977,-0.8182902343,6.57795201777778E-07,-2.1865096E-08,Bet,,Gru,1,111768,,380.8903764981,,2.191,1.971
85769,86032,159561,6556,Gl 681,55Alp Oph,Rasalhague,17.582241,12.560035,14.8965,110.08,-222.61,12.6,2.08,1.215,A5III,0.155,-1.587067,-14.453242,3.239454,0.00000615,-0.00001685,-0.00001289,4.6030200227,0.2192139606,5.33682899555556E-07,-1.079243734E-06,Alp,55,Oph,1,85769,,28.4446110745,,,
14540,14576,19356,936,,26Bet Per,Algol,3.136148,40.955648,27.571,2.39,-1.44,4,2.09,-0.112,B8V,-0.003,14.189428,15.238793,18.072114,0.00000196,0.00000257,0.00000254,0.8210415014,0.7148108979,1.15870469652778E-08,-0.000000007,Bet,26,Per,1,14540,,96.5606098542,Bet,2.213,2.073
9618,9640,12533,603,,57Gam1And,Almaak,2.064984,42.329725,120.4819,43.08,-50.85,-12,2.1,-3.305,B8V,1.37,76.368059,45.840864,81.131974,-0.00000358,0.0000272,-0.00003022,0.5406116765,0.7387930669,2.08857733583333E-07,-2.46527756E-07,Gam-1,57,And,1,9618,,1828.1002161428,,,
57459,57632,102647,4534,Gl 448,94Bet Leo,Denebola,11.817663,14.57206,10.9999,-499.02,-113.78,-0.2,2.14,1.933,A3Vvar,0.09,-10.633926,0.508011,2.767546,-0.00000006,0.00002664,-0.00000592,3.093856966,0.2543304303,-2.41931722870833E-06,-5.51621005E-07,Bet,94,Leo,1,57459,,14.6824996783,,,
4417,4427,5394,264,,27Gam Cas,Cih,0.945143,60.71674,168.3502,25.65,-3.82,-7,2.15,-3.981,B0IV:evar,-0.046,79.836717,20.168018,146.837047,-0.00000589,0.0000201,-0.00000777,0.2474379511,1.059707029,1.243547090625E-07,-1.8519882E-08,Gam,27,Cas,1,4417,,3407.2186165936,Gam,2.173,2.133
61739,61932,110304,4819,,Gam Cen,,12.691971,-48.959888,39.9042,-187.28,-1.2,-6,2.2,-0.805,A1IV,-0.023,-25.771821,-4.720403,-30.097707,-0.00000239,0.00003639,0.00000448,3.3227502424,-0.8545112529,-0.000000908,-5.817764E-09,Gam,,Cen,1,61739,,182.8100216143,,,
39318,39429,66811,3165,,Zet Pup,Naos,8.059737,-40.003148,332.2259,-30.82,16.77,-24,2.21,-5.397,O5IAf,-0.269,-130.674899,218.376203,-213.564535,0.00004333,0.00002425,0.00003647,2.1100341326,-0.6981866376,-1.49419576347222E-07,8.1303254E-08,Zet,,Pup,1,39318,,12554.5167368714,Zet,2.224,2.194
45425,45556,80404,3699,,Iot Car,Tureis,9.284838,-59.275229,234.7418,-19.03,13.11,13,2.21,-4.643,A8Ib,0.189,-90.887872,78.251756,-201.791538,-0.00000074,0.00002921,-0.00000381,2.4307649367,-1.0345479139,-9.22600434097222E-08,6.3559073E-08,Iot,,Car,1,45425,,6269.0249747617,,,
76035,76267,139006,5793,,5Alp CrB,Alphekka,15.578128,26.714693,23.0097,120.38,-89.44,2,2.22,0.41,A0V,0.032,-12.176093,-16.558746,10.343974,0.00000708,-0.00001304,-0.00000799,4.0783442887,0.4662593508,5.83618708652778E-07,-4.33617355E-07,Alp,5,CrB,1,76035,,59.7035286584,Alp,2.289,2.209
44689,44816,78647,3634,,Lam Vel,,9.133268,-43.432589,166.9449,-23.21,14.28,18,2.23,-3.883,K4Ib-II,1.665,-88.662596,82.682121,-114.774841,-0.00000278,0.00002827,-0.00000426,2.3910838764,-0.7580416852,-1.12525255256944E-07,6.9231393E-08,Lam,,Vel,1,44689,,3113.149665447,Lam,2.272,2.182
65173,65378,116656,5054,NN 3783A,79Zet UMa,Mizar,13.398747,54.925362,26.3089,121.23,-22.01,-5.6,2.23,0.129,A2V,0.057,-14.115808,-5.413302,21.531272,0.00000646,-0.00001408,-0.0000063,3.5077838547,0.9586284043,5.877396249375E-07,-1.06707491E-07,Zet,79,UMa,1,65173,NN 3783,77.3392578049,,2.336,2.196
100128,100453,194093,7796,,37Gam Cyg,Sadr,20.370473,40.256679,561.7978,2.43,-0.93,-8,2.23,-6.518,F8Ib,0.673,249.318228,-348.795593,363.040966,0.0000027,0.0000076,-0.00000722,5.3329772551,0.7026115975,1.17809724375E-08,-4.508767E-09,Gam,37,Cyg,1,100128,,35253.3181195886,,,
3172,3179,3712,168,,18Alp Cas,Shedir,0.675116,56.537331,69.979,50.36,-32.17,-4,2.24,-1.985,K0II-IIIvar,1.17,37.984817,6.784483,58.379619,0.00000374,0.00001802,-0.00000943,0.1767448813,0.9867625763,2.44152169527778E-07,-0.000000156,Alp,18,Cas,1,3172,,542.0008904016,Alp,2.25,2.23
87561,87833,164058,6705,,33Gam Dra,Etamin,17.943437,51.488895,47.3037,-8.52,-23.05,-28,2.24,-1.134,K5III,1.521,-0.436154,-29.451035,37.014357,-0.00000175,0.00001372,-0.0000257,4.6975807916,0.8986507442,-4.13061255833333E-08,-1.11749553E-07,Gam,33,Dra,1,87561,,247.5141318074,,,
25865,25930,36486,1852,,34Del Ori,Mintaka,5.533445,-0.299092,212.3142,1.67,0.56,16,2.25,-4.385,O9.5II,-0.175,25.868117,210.729667,-1.108306,0.00000029,0.00001645,0.00000049,1.4486524168,-0.0052201402,8.09638846527778E-09,2.714956E-09,Del,34,Ori,1,25865,,4943.1068698684,Del,2.334,2.234
744,746,432,21,Gl 8,11Bet Cas,Caph,0.152887,59.14978,16.7842,523.39,-180.42,11.3,2.28,1.155,F2III-IV,0.38,8.600014,0.344589,14.409503,0.00001681,0.00004329,0.00000239,0.0400258528,1.0323584044,2.53746632265972E-06,-8.74700842E-07,Bet,11,Cas,1,744,,30.0607630263,Bet,2.303,2.263
66447,66657,118716,5132,,Eps Cen,,13.664796,-53.466394,131.0616,-14.6,-12.79,3,2.29,-3.297,B1III,-0.171,-70.726493,-32.9381,-105.309044,0.00000035,0.00001039,-0.0000073,3.5774351187,-0.9331646086,-7.07827973611111E-08,-0.000000062,Eps,,Cen,1,66447,,1814.6797793969,Eps,2.301,2.281
78165,78401,143275,5953,,7Del Sco,Dschubba,16.005557,-22.62171,150.6024,-8.67,-36.9,-7,2.29,-3.599,B0.2IV,-0.117,-69.332609,-120.492107,-57.928452,0.00000298,0.00001787,-0.00002211,4.1902451252,-0.3948233193,-0.000000042,-1.78896248E-07,Del,7,Sco,1,78165,,2396.6245294086,Del,2.299,2.279
82144,82396,151680,6241,,26Eps Sco,,16.83608,-34.293232,19.5351,-611.83,-255.87,-3,2.29,0.836,K2IIIb,1.144,-4.842163,-15.39568,-11.006616,-0.00005042,0.00003282,-0.00001829,4.4076754344,-0.5985298033,-2.96623554174306E-06,-1.240492764E-06,Eps,26,Sco,1,82144,,40.3273792976,,,
